;No;Tweet;Relevant/irrelevant;Sentiment;Intensity;Attitude;Link
0;1;"Registration Affiliate (Move River) on the United Countries Top Commissioner for Refugees (UNHCR) https://t.co/2OAbwUHtpZ
";irrelevant;neutral;low;sharing;http://twitter.com/MHPSSCollabora1/statuses/1181147265878155265
1;2;#AusVisaXB4IranianRefugeesTR Hello World . Please hear #TheVoice of our children. They need the attention of international community. #IranianRefugeesInTurkey #Resettlement4Iranian #Refugees #Oscars2019 #Resettlement @Refugees @UNHCRTurkey🍁 https://t.co/qubV3zyjd9 https://t.co/5V4olODf4n;irrelevant;neutral;low;unrelated;http://twitter.com/MonashScholars/statuses/1145527515567575040
2;3;#AusVisaXB4IranianRefugeesTR Hello World . Please hear #TheVoice of our children. They need the attention of international community. #IranianRefugeesInTurkey #Resettlement4Iranian #Refugees #Oscars2019 #Resettlement @Refugees @UNHCRTurkey🍁 https://t.co/UIDT8lzFx2;irrelevant;neutral;low;unrelated;http://twitter.com/IlkacaseDahir/statuses/1181279499318489089
3;4;#AusVisaXB4IranianRefugeesTR Hello World . Please hear #TheVoice of our children. They need the attention of international community. #IranianRefugeesInTurkey #Resettlement4Iranian #Refugees #Oscars2019 #Resettlement @Refugees @UNHCRTurkey🍁 https://t.co/GRsepvImpH;irrelevant;neutral;low;unrelated;http://twitter.com/SaddamH57747037/statuses/1172614732101996544
4;5;#FreeBalochistan #UNhumanRights #hrc41 #HRC #CommissionerHR #StateDLR #humanrightswatch #humanright1st #baloch @BHROrganization @BJP4India @PMOIndia #humanity #HumanityFirst @UN @UNHumanRights @Refugees @ICJ_org;irrelevant;neutral;low;unrelated;http://twitter.com/EQL_Nationality/statuses/1181147111343177729
5;6;#KashmirWantsFreedom #KashmirBleeds @OxfordUnion @Refugees @MuradSaeedPTI @SMQureshiPTI @TehminaJanjua #KashmirFightsTillFreedom #KashmirStillUnderCurfew #IndiaFailed #KashmirProtests #EndKashmirBlockade https://t.co/kiNjSdaPmX;irrelevant;neutral;low;unrelated;http://twitter.com/52mLili/statuses/1172752282242473984
6;7;#KashmirWantsFreedom #KashmirBleeds @Refugees @MuradSaeedPTI @SMQureshiPTI @TehminaJanjua @reveal #370AbrogationNotAcceptable #KashmirFightsTillFreedom #KashmirStillUnderCurfew #IndiaFailed #KashmirProtests https://t.co/z7N7nnBPVZ;irrelevant;neutral;low;unrelated;http://twitter.com/khorshidchehr/statuses/1172611438785024005
7;8;#KashmirWantsFreedom #KashmirBleeds @Refugees @MuradSaeedPTI @SMQureshiPTI @TehminaJanjua @reveal #KashmirHour #KashmirAtDecisionPoint #StandForKashmir #KashmirBleedsUNSleeps #FreeKashmir https://t.co/Bs5rKyKzoJ;irrelevant;neutral;low;unrelated;http://twitter.com/khorshidchehr/statuses/1172610773648101376
8;9;#KashmirWantsFreedom #KashmirBleeds @SenSanders @SenWarren @mehdirhasan @OxfordUnion @Refugees #FreeKashmir #KashmirPlebiscite #370AbrogationNotAcceptable #KashmirFightsTillFreedom #KashmirStillUnderCurfew https://t.co/5jLeE5Bqb4;irrelevant;neutral;low;unrelated;http://twitter.com/naderNakib/statuses/1181280197066153984
9;10;#KashmirWantsFreedom #KashmirBleeds @SenSanders @SenWarren @mehdirhasan @OxfordUnion @Refugees #KashmirBleedsUNSleeps #FreeKashmir #KashmirPlebiscite #370AbrogationNotAcceptable #KashmirFightsTillFreedom https://t.co/onIxDmYRrz;irrelevant;neutral;low;unrelated;http://twitter.com/rah2005oom/statuses/1100847379283169281
10;11;#KashmirWantsFreedom #KashmirBleeds @SenSanders @SenWarren @mehdirhasan @OxfordUnion @Refugees #KashmirFightsTillFreedom #KashmirStillUnderCurfew #IndiaFailed #KashmirProtests #EndKashmirBlockade https://t.co/j9AoEeEEj0;irrelevant;neutral;low;unrelated;http://twitter.com/el_memorial/statuses/1181253137631518721
11;12;#KashmirWantsFreedom #KashmirBleeds @SenSanders @SenWarren @mehdirhasan @OxfordUnion @Refugees #KashmirHour #KashmirAtDecisionPoint #StandForKashmir #KashmirBleedsUNSleeps #FreeKashmir https://t.co/QrJdBGu4Cg;irrelevant;neutral;low;unrelated;http://twitter.com/Allehone/statuses/1181132915461312513
12;13;#KashmirWantsFreedom #KashmirBleeds @SenSanders @SenWarren @mehdirhasan @OxfordUnion @Refugees #KashmirProtests #KashmirHour #EndKashmirBlockade #KashmirAtDecisionPoint #StandForKashmir https://t.co/af8MORGvSZ;irrelevant;neutral;low;unrelated;http://twitter.com/surajra70594349/statuses/1172779103323213824
13;14;#KashmirWantsFreedom #KashmirBleeds @SenSanders @SenWarren @mehdirhasan @OxfordUnion @Refugees #KashmirProtests #KashmirHour #EndKashmirBlockade #KashmirAtDecisionPoint #StandForKashmir https://t.co/unSFccinHl;irrelevant;neutral;low;unrelated;http://twitter.com/ali_shafae/statuses/1181192698889297920
14;15;#KashmirWantsFreedom #KashmirBleeds @SenSanders @SenWarren @mehdirhasan @OxfordUnion @Refugees #KashmirStillUnderCurfew #IndiaFailed #KashmirProtests #KashmirHour #EndKashmirBlockade https://t.co/3G8tjJcIK9;irrelevant;neutral;low;unrelated;http://twitter.com/Najibul29251808/statuses/1181211715947483136
15;16;#KashmirWantsFreedom #KashmirBleeds @SenSanders @SenWarren @mehdirhasan @OxfordUnion @Refugees #StandForKashmir #KashmirBleedsUNSleeps #FreeKashmir #KashmirPlebiscite #370AbrogationNotAcceptable https://t.co/MjokIdknGD;irrelevant;neutral;low;unrelated;http://twitter.com/ali_shafae/statuses/1181194660129034242
16;17;#KashmirWantsFreedom #KashmirBleeds @SenWarren @mehdirhasan @OxfordUnion @Refugees @MuradSaeedPTI #KashmirPlebiscite #370AbrogationNotAcceptable #KashmirFightsTillFreedom #KashmirStillUnderCurfew #IndiaFailed https://t.co/AMIPDoRdW5;irrelevant;neutral;low;unrelated;http://twitter.com/unutma_yeterr/statuses/1100808182019039232
17;18;#KashmirWantsFreedom #KashmirBleeds @SenWarren @mehdirhasan @OxfordUnion @Refugees @MuradSaeedPTI #KashmirProtests #KashmirHour #EndKashmirBlockade #KashmirAtDecisionPoint #StandForKashmir https://t.co/hntWcJ5CXS;irrelevant;neutral;low;unrelated;http://twitter.com/Harley_Quenn_/statuses/1100807887092359169
